,subarea_name,category_name,sub_category_name,room_count,bathroom_count,parking_count,size (sqrt),property_type,price (RM)
4016,Bukit Jambul,Commercial Property,Office space,0,0,0,326,Freehold,300000
4017,Bukit Mertajam,House,1-storey Terraced House,3,2,0,1642,Freehold,350000
4018,Alma,House,1-storey Terraced House,3,2,0,1200,Freehold,300000
4019,Valdor,House,1-storey Terraced House,3,2,0,1800,Freehold,430000
4020,Juru,House,Semi-Detached House,4,3,0,4000,Freehold,980000
4021,Tanjong Tokong,Apartment / Condominium,Condominium,4,3,3,1750,Freehold,800000
4022,Bukit Mertajam,House,Terraced House,6,6,0,2640,Freehold,750000
4023,Bertam,House,Bungalow House,3,2,0,1612,Freehold,800000
4024,Alma,House,2-storey Terraced House,4,3,0,1600,Freehold,648000
4025,Nibong Tebal,Commercial Property,Shop lot,0,0,0,1400,Freehold,550000
4026,Bandar Perda,Apartment / Condominium,Condominium,3,2,1,700,Freehold,200000
4027,Nibong Tebal,House,2-storey Terraced House,4,3,0,1600,Freehold,487800
4028,Juru,Apartment / Condominium,Condominium,3,2,1,1171,Freehold,418000
4029,Simpang Ampat,House,2-storey Terraced House,4,3,0,1600,Freehold,550000
4030,Alma,House,2-storey Terraced House,4,3,0,1400,Freehold,580000
4031,Pulau Tikus,Apartment / Condominium,Condominium,3,2,1,1600,Freehold,945000
4032,Ayer Itam,Apartment / Condominium,Condominium,4,2,0,1000,Freehold,390000
4033,Seberang Jaya,House,2-storey Terraced House,4,3,0,1200,Freehold,528000
4034,Bukit Minyak,Commercial Property,Warehouse / Factory,0,0,0,7780,Leasehold,2050000
4035,Alma,House,Zero-Lot Bungalow,4,4,0,3290,Freehold,1200000
4036,Juru,House,Semi-Detached House,4,4,0,3003,Freehold,650000
4037,Butterworth,House,Semi-Detached House,4,3,0,1950,Freehold,780000
4038,Sungai Ara,Commercial Property,Shop lot,0,0,0,2150,Freehold,2690000
4039,Butterworth,Apartment / Condominium,Condominium,3,2,0,1539,Freehold,475000
4040,Butterworth,Commercial Property,Warehouse / Factory,0,0,0,7000,Freehold,3200000
4041,Tanjong Tokong,Commercial Property,Shop lot,0,0,0,800,Freehold,1490000
4042,Persiaran Gurney,Commercial Property,Shop lot,0,0,0,5000,Freehold,7800000
4043,Pulau Tikus,House,2-storey Terraced House,3,2,0,1600,Freehold,2600000
4044,Simpang Ampat,House,Townhouse,3,4,0,976,Freehold,480000
