property_type,floor_size,developer,land_size,psf,furnishing,floor_level,tenure_type,built_year,listing_id,listing_time,bedroom_count,bathroom_counr,location,propertyguru_url
Condominium For Sale,950 sqft,Ideal Property Group,,"RM 1,000.00 psf",Unfurnished,Middle Floor,Freehold,2022,35528587,5 days ago,3,2,Bayan Lepas,https://www.propertyguru.com.my/property-listing/queens-residences-queens-waterfront-for-sale-by-millie-chew-35528587
Apartment For Sale,730 sqft,Aspen,,RM 471.23 psf,,,Freehold,2023,35240344,5 days ago,3,2,Batu Kawan,https://www.propertyguru.com.my/property-listing/vivo-executive-apartment-for-sale-by-carmen-teh-35240344
Condominium For Sale,845 sqft,IJM LAND BERHAD,,RM 733.73 psf,Unfurnished,Low Floor,Leasehold,"September, 2022",35921520,5 days ago,3,2,Jelutong,https://www.propertyguru.com.my/property-listing/3-residence-for-sale-by-jeff-teh-35921520
Condominium For Sale,700 sqft,,,RM 357.14 psf,Fully Furnished,Low Floor,Freehold,,34881585,5 days ago,3,1,Ayer Itam,https://www.propertyguru.com.my/property-listing/bukit-saujana-penang-for-sale-by-camillus-chai-34881585
Condominium For Sale,7500 sqft,Hunza Group,,RM 986.67 psf,Partially Furnished,Middle Floor,Freehold,"January, 2009",35641258,5 days ago,8,7,Tajung Bungah,https://www.propertyguru.com.my/property-listing/infinity-beachfront-condo-for-sale-by-mj-zie-35641258
Condominium For Sale,2070 sqft,E & O Berhad,,"RM 1,062.80 psf",Partially Furnished,High Floor,Freehold,"January, 2013",35858332,5 days ago,2,3,Tajung Tokong,https://www.propertyguru.com.my/property-listing/quayside-seafront-resort-condominiums-for-sale-by-mj-zie-35858332
Condominium For Sale,1161 sqft,Eastern & Oriental Berhad,,"RM 1,033.59 psf",Fully Furnished,Low Floor,Freehold,"April, 2017",35526236,5 days ago,1,1,Tajung Tokong,https://www.propertyguru.com.my/property-listing/andaman-quayside-for-sale-by-mj-zie-35526236
Condominium For Sale,2826 sqft,Eastern & Oriental Berhad,,"RM 1,167.73 psf",Partially Furnished,Low Floor,Freehold,"April, 2017",35858364,5 days ago,3,4,Tajung Tokong,https://www.propertyguru.com.my/property-listing/andaman-quayside-for-sale-by-mj-zie-35858364
Condominium For Sale,1650 sqft,OHM Group,,RM 333.33 psf,Unfurnished,High Floor,Freehold,"January, 2014",35917072,6 days ago,4,2,Ayer Itam,https://www.propertyguru.com.my/property-listing/shineville-park-condominium-for-sale-by-joseph-tan-35917072
Condominium For Sale,4230 sqft,,,RM 470.45 psf,Fully Furnished,Middle Floor,Freehold,1997,35916676,6 days ago,5,5,Georgetown,https://www.propertyguru.com.my/property-listing/silverton-condominium-for-sale-by-brandon-tan-35916676
Condominium For Sale,1250 sqft,UDA Home Property,,RM 487.20 psf,Fully Furnished,Middle Floor,Leasehold,"January, 2010",35915741,6 days ago,3,2,Tajung Tokong,https://www.propertyguru.com.my/property-listing/the-brezza-for-sale-by-brandon-tan-35915741
Condominium For Sale,6000 sqft,City Associates Group,,RM 466.67 psf,Fully Furnished,,Freehold,"January, 2007",35773880,6 days ago,5,5,Tajung Bungah,https://www.propertyguru.com.my/property-listing/the-cove-for-sale-by-nikki-cheah-35773880
Condominium For Sale,2828 sqft,Eastern & Oriental Berhad,,"RM 1,060.82 psf",Partially Furnished,Low Floor,Freehold,"April, 2017",34663087,6 days ago,5,5,Tajung Tokong,https://www.propertyguru.com.my/property-listing/andaman-quayside-for-sale-by-mark-tan-34663087
Condominium For Sale,1110 sqft,,,RM 407.55 psf,Unfurnished,Middle Floor,Freehold,2021,35907973,1 week ago,3,2,Georgetown,https://www.propertyguru.com.my/property-listing/e-residence-for-sale-by-h-ng-vince-35907973
Condominium For Sale,1450 sqft,,,RM 499.31 psf,Unfurnished,Low Floor,Freehold,"March, 2019",32080884,1 week ago,3,3,Tajung Tokong,https://www.propertyguru.com.my/property-listing/skyridge-garden-tanjung-tokong-for-sale-by-edwin-ng-32080884
Condominium For Sale,1371 sqft,E & O Berhad,,"RM 1,167.03 psf",Fully Furnished,High Floor,Freehold,"January, 2013",34517469,1 week ago,2,2,Tajung Tokong,https://www.propertyguru.com.my/property-listing/quayside-seafront-resort-condominiums-for-sale-by-mark-tan-34517469
Condominium For Sale,2146 sqft,E & O Berhad,,RM 978.56 psf,Unfurnished,High Floor,Freehold,"January, 2013",35765214,1 week ago,3,4,Tajung Tokong,https://www.propertyguru.com.my/property-listing/quayside-seafront-resort-condominiums-for-sale-by-mark-tan-35765214
Condominium For Sale,2481 sqft,E & O Berhad,,"RM 1,101.57 psf",Fully Furnished,High Floor,Freehold,"January, 2013",34268087,1 week ago,4,5,Tajung Tokong,https://www.propertyguru.com.my/property-listing/quayside-seafront-resort-condominiums-for-sale-by-mark-tan-34268087
Condominium For Sale,2146 sqft,E & O Berhad,,RM 745.57 psf,Unfurnished,Low Floor,Freehold,"January, 2013",35229921,1 week ago,3,4,Tajung Tokong,https://www.propertyguru.com.my/property-listing/quayside-seafront-resort-condominiums-for-sale-by-mark-tan-35229921
Condominium For Sale,703 sqft,,,RM 497.87 psf,Unfurnished,,Freehold,2027,35906140,1 week ago,2,2,Batu Kawan,https://www.propertyguru.com.my/property-listing/batu-kawan-new-project-freehold-condominium-batu-kawan-for-sale-by-bent-koid-35906140
